,Max,Min,Mean,Std,RMS,Skewness,Kurtosis,Crest Factor,Form Factor,Fault
0,0.4270000000000001,-0.957,-0.11438798828125,0.1130025348465167,0.1607904264266649,0.0022036701709273,0.7488885759918742,2.655630745495603,-1.4056583111796974,Inner Race
1,0.63,-0.8540000000000001,-0.11429228515625,0.1121943813088602,0.1601552091429592,-0.0170722981194816,0.8112154444171273,3.9336841016369535,-1.4012775133860484,Inner Race
2,0.645,-0.718,-0.114114599609375,0.1115760222992489,0.1595955598524262,0.0487541305145275,0.5291529868972842,4.041465818951443,-1.3985551401725709,Inner Race
3,0.815,-0.728,-0.115023779296875,0.1104131393974613,0.159439442700581,0.06086200351716,0.963834198755559,5.111658609661143,-1.3861433146712194,Inner Race
4,0.474,-0.71,-0.115375,0.1132160010066151,0.1616435202435246,-0.0189329749621335,0.6504811655460476,2.9323786025316303,-1.4010272610489671,Inner Race
5,0.5,-0.747,-0.114183349609375,0.1148374178005022,0.1619408099514584,-0.0050669131876283,0.6192065289865649,3.08754785251398,-1.4182524028719008,Inner Race
6,0.637,-0.964,-0.114507470703125,0.1143825574318469,0.1618477415816424,-0.0215832827738396,0.9641584621486556,3.9357978911226983,-1.4134251729413627,Inner Race
7,0.664,-0.701,-0.113991650390625,0.1153983818818746,0.1622042929950241,0.0056322217620164,0.6838838166951784,4.093603120728559,-1.4229488952847398,Inner Race
8,0.491,-0.828,-0.11434443359375,0.1157536605276673,0.1627049635867979,0.0170218441784756,0.8490533900371293,3.0177321525785348,-1.4229373347973044,Inner Race
9,0.486,-0.82,-0.114641552734375,0.1121858293962792,0.160398663948564,-0.0314395615093277,0.6587017429143249,3.029950424997608,-1.3991319911743385,Inner Race
10,0.8909999999999999,-0.667,-0.1144701171875,0.1119562549533555,0.1601155792871785,0.0043506740374422,0.7612063054776539,5.564730202811362,-1.3987543930344026,Inner Race
11,0.706,-1.104,-0.115065283203125,0.1143224664494796,0.1622005165477575,-0.0442874380635233,1.5764894998178018,4.35263718652911,-1.4096390503938936,Inner Race
12,0.591,-0.8640000000000001,-0.11421533203125,0.1155267121959645,0.1624527981325459,0.0722034226047231,1.0143445499000734,3.6379798119438993,-1.4223379229690278,Inner Race
13,0.493,-0.688,-0.113684814453125,0.1153254109531334,0.1619368334787036,0.0415545057553844,0.5051061319701944,3.0443969380495184,-1.4244368014997648,Inner Race
14,0.5710000000000001,-0.977,-0.11506767578125,0.115384956040809,0.1629527784599345,0.0061719643497658,0.995988689850452,3.5040826268598586,-1.41614730073906,Inner Race
15,0.693,-1.318,-0.115487646484375,0.1159353090827464,0.1636390420528804,-0.1279342912014108,2.044040410641336,4.234930682227136,-1.4169397942923718,Inner Race
16,0.483,-0.647,-0.114441162109375,0.1125207420153191,0.1604901204428659,0.0284349688833034,0.3702426107122698,3.009531045694158,-1.402381079366186,Inner Race
17,0.605,-1.028,-0.114322998046875,0.1140707365392721,0.16149688993595,0.010367116140432,0.8700202963472656,3.746202172933138,-1.4126369382801938,Inner Race
18,0.552,-0.779,-0.11405029296875,0.1126413747715615,0.1602963789408934,0.0131770159454374,0.5350356837870809,3.443621145076152,-1.4054885328950004,Inner Race
19,0.598,-0.752,-0.11414375,0.111652498074104,0.159669869684785,0.028377231571356,0.6393029763121363,3.7452275822642784,-1.3988489924747094,Inner Race
20,0.535,-0.935,-0.11446953125,0.1174867940829971,0.1640297119022,-0.0213125284962769,0.814437253373542,3.2616042166737738,-1.432955216213485,Inner Race
21,0.762,-0.845,-0.11495078125,0.1147016482365619,0.1623869077619867,-0.0241111416887723,0.9235284083139992,4.692496522668417,-1.4126646726203682,Inner Race
22,0.647,-0.742,-0.114600537109375,0.113605453573752,0.1613655849366683,0.0056063924184636,0.9444616196463372,4.0095290470637215,-1.4080700580195422,Inner Race
23,0.5539999999999999,-0.7809999999999999,-0.11488291015625,0.1164526921718251,0.1635807152161433,0.0039811483865755,0.7025437070752276,3.386707285562272,-1.4238907683802615,Inner Race
24,0.466,-1.086,-0.114888818359375,0.1132468431987288,0.1613185106093977,-0.0354011185588942,0.8725446399763159,2.8886951549430733,-1.4041271632265342,Inner Race
25,0.649,-0.8859999999999999,-0.11546494140625,0.1171692505501032,0.1644995915648425,-0.0842635924530473,0.9117376340951536,3.945298549535772,-1.424671329335108,Inner Race
26,0.513,-0.742,-0.114273681640625,0.1140144385701698,0.1614222159032311,-0.0170126725824479,0.6365600441589718,3.178001225726772,-1.4125931149298383,Inner Race
27,0.662,-0.747,-0.11438876953125,0.1134582146598563,0.1611115406034744,0.0386273959822907,0.6800811483499047,4.1089545635300295,-1.4084559285294191,Inner Race
28,0.8420000000000001,-0.757,-0.114928466796875,0.1145324070277754,0.1622516077840698,0.0463364006242043,0.9006864730610786,5.189470918035915,-1.4117617010486525,Inner Race
29,0.444,-0.989,-0.114823583984375,0.1131380232104069,0.1611956659609971,-0.0040393688500781,0.7569721584244324,2.754416487273485,-1.4038550301907695,Inner Race
